label,group,nseqs,sobs,coverage,bergerparker,chao,shannon,simpson
0.03,36_1_Swab,6146,882,0.943541,0.051904,1203.02139,5.396487,0.013489
0.03,36_2_Swab,10138,349,0.986881,0.108009,500.344828,3.829777,0.043853
0.03,36_3_Swab,13721,382,0.990161,0.101159,496.493671,3.912396,0.037298
0.03,36_4_Swab,8022,1095,0.945649,0.065819,1616.043956,5.605696,0.012814
0.03,36_5_Swab,8759,384,0.982646,0.091106,569.096774,3.945187,0.040931
0.03,36_6_Swab,7864,1106,0.953204,0.053026,1435.404878,5.869029,0.008649
0.03,36_AL_1,11132,1177,0.964068,0.086238,1603.737968,5.634852,0.014543
0.03,36_AL_2,12951,1126,0.971894,0.107559,1468.310881,5.287942,0.022348
0.03,36_AL_3,11305,1135,0.963025,0.155772,1633.017143,5.142579,0.036419
0.03,36_AL_4,9274,1030,0.962799,0.073215,1365.254237,5.531046,0.013876
0.03,36_AL_5,9232,1057,0.958297,0.095971,1432.228426,5.407096,0.019196
0.03,36_AL_6,8803,1079,0.95831,0.061116,1434.349206,5.684946,0.011411
0.03,36_AS_1,12767,1118,0.973369,0.063445,1482.746835,5.610732,0.012648
0.03,36_AS_2,13086,1174,0.972413,0.101483,1523.354839,5.55622,0.017368
0.03,36_AS_3,15491,1210,0.978504,0.058421,1520.550562,5.778236,0.009577
0.03,36_AS_4,9618,1074,0.96309,0.063423,1411.822581,5.717494,0.010356
0.03,36_AS_5,11829,1145,0.970834,0.05495,1437.315271,5.771248,0.009118
0.03,36_AS_6,12129,1091,0.975266,0.061176,1345.829545,5.651767,0.01119
0.03,36_VL_1,13462,1176,0.973852,0.07354,1492.8,5.636572,0.012754
0.03,36_VL_2,15786,1179,0.976815,0.15007,1560.685714,5.195211,0.031114
0.03,36_VL_3,16756,1236,0.976367,0.123657,1680.375,5.222488,0.026246
0.03,36_VL_4,14129,1304,0.97261,0.079907,1637.441964,5.657922,0.014465
0.03,36_VL_5,18237,1334,0.978725,0.096946,1676.821918,5.438656,0.019793
0.03,36_VL_6,8277,1024,0.95566,0.068986,1405.596591,5.523142,0.013965
0.03,36_VS_1,17403,1250,0.980233,0.144803,1555.678756,5.415671,0.027056
0.03,36_VS_2,15015,1231,0.977889,0.043556,1505.73,5.802863,0.008536
0.03,36_VS_3,15174,1223,0.978845,0.048899,1490.5,5.827023,0.00837
0.03,36_VS_4,8231,992,0.961973,0.053942,1261.767956,5.722648,0.009275
0.03,36_VS_5,9360,1044,0.964209,0.048504,1387.220859,5.697084,0.009651
0.03,36_VS_6,9231,1055,0.962626,0.049182,1414.636364,5.722603,0.009387
0.03,38_1_Swab,15208,1249,0.973632,0.210021,1646.029703,5.067771,0.051136
